하르방 	 할아버지
송락 	 무당들 쓰는 모자
요령 	 방울
복치메 	 상복치마
구덕 	 바구니
고량착 	 대로만든채롱
낭푼이 	 양푼
그릇대배기 	 물긷는그릇
물구루마 	 마차
바농 	 바늘
박새기 	 바가지
숟구락 	 수저
제끄락 	 젓갈
주멩기 	 주머니
허벅 	 물을길어나르는통
남죽 	 큰밥주걱
대접 	 국사발
도고리 	 함지박
소리바굼지 	 도시락통
솔박 	 바가지
수박귀 	 밥사발
우금 	 작은밥자
작박 	 작은바가지
장탱이 	 설거지통
항 	 항아리
함박 	 나무로만든도고리
가레죽 	 삽
곡괭이 	 곡괭이
골갱이 	 호미
골각지 	 호미
군데 	 고무래
날레군데	 날레 젓는 거
가레 	 맷돌
갈체 	 상태기
돌끌 	 돌 발르는 끌
다께 	 도리깨
멕 	 멱서리
말방에 	 연자마
벤줄레 	 쐐괘
부게 	 씨앗그릇
쉐스렁 	 쉐거름낼때
씻부게 	 씨앗
잠데 	 쟁기
호미 	 낫
고냥 독생이 	 굴뚝새
놀개기 	 날개
박생이 	 동박새
독 	 닭
독새기 	 닭
고냉이 	 고양이
송애기 	 송아지
몽생이 	 망아지
돗 	 돼지
도새기 	 돼지
밭갈쇠 	 밭을 가는 소
부랭이 	 숫소
염송애기 	 염소
강생이 	 강아지
중이 	 쥐
갓돔 	 도미
겡이 	 게
구젱기 	 소라
물꾸럭 	 문어
게염지 	 개미
멩마구리 	 맹꽁이
베랭이 	 버러지
베염 	 뱀
빙애기 	 병아리
생이 	 새
나람쥐 	 다람쥐
죙이 	 쥐
여호 	 여우
노리 	 노루
빙아리 	 병아리
쉐 	 소
쉐막 	 외양간
도세기 	 돼지
두테비 	 두꺼비
골개비 	 개구리
젱비리 	 올챙이
송키 	 채소
지실 	 감자
감저 	 고구마
어욱 	 억새
태역 	 잔디
모물 	 메밀
굴묵낭 	 느티나무
가라지 	 강아지풀
꿩마농 	 달래
도채비고장 	 산수국
숙대낭 	 삼나무
퐁낭 	 팽나무
가베또롱호다 	 가뿐하다
간드랑호다 	 시원하다
간세호다 	 게으르다
거령청호다 	 분수가없다
곧작호다 	 곧다
과랑과랑호다 	 쨍쨍하다
금착호다 	 조마조마하다
고렵다 	 가렵다
돌코롬호다 	 달콤하다
메뜩호다 	 통쾌하다
멘도롱호다 	 따뜻하다
모드락호다 	 한곳에모여있다
몰치락호다 	 포동포동하다
벤조롱호다 	 젊게보이다
부치럽다 	 부끄럽다
돌글랑호다 	 동그랗다
봉끄랑호다 	 퉁퉁하다
보랑지다 	 부지런하다
펀드렁호다 	 시치미를뗀모양하다
해또록호다 	 희끔하다
산도록호다 	 시원하다
썸찌근호다 	 지긋지긋하다
실렵다 	 차겁다
심드랑호다 	 관심이없다
슴두렁펀펀호다 	 아무런가치없다
솔치다 	 살찌다
앙살호다 	 사납게소리치다
앨록호다 	 더럽다
어중구랑호다 	 흐리멍텅하다
얼랍지다 	 당황하다
얼랍지다 	 궁금하다
엄부랑호다 	 엄청나다
오들랑호다 	 작아서위로치켜뜬모양하다
옴탕호다 	 오목하다
왁왁호다 	 캄캄하다
왕왕작작호다 	 떠들썩하다
요망지다 	 똑똑하다
조짝호다 	 불쑥나타나있다
좀질다 	 가늘다
좀좀호다 	 잠잠하다
패랍다 	 까다롭다
그저끼 	 그저께
아척 	 아침
그지게초냑 	 그저께저녁
언처냑 	 엊저녁
요뉠모리 	 내일모레
소시 	 요사이
숭년 	 흉년
저슬들언 	 겨울 된
갈라지다 	 헤어지다
데싸지다 	 자빠지다
감장돌다 	 맴돌다
거느리왕상호다 	 남의일을비평하다
거들락거리다 	 꺼떡거리다
거찌다 	 건드리다
걸러지다 	 거꾸러지다
고른배기 	 호다박자
고쩌사다 	 비켜서다
곤작싸다 	 재주넘다
꼴성그리다 	 얼굴을찡그리다
곱지다 	 숨기다
구숭호다 	 불평을말하다
꾸러박아지다 	 거꾸로박히다
귀태우다 	 은밀히알려주다
고끼다 	 숨막히다
골메드리다 	 차례로바꾸다
늘짝거리다 	 늑장부리다
끼리다 	 미끄러지다
다울리다 	 재촉하다
댕기다 	 다니다
데껴불다 	 던져버리다
되싸지다 	 갈라지다
들럭퀴다 	 날 뛰다
몽캐다 	 느리다
몽캐다 	 꾸물거리다
베르싸다 	 속이보이게열다
부수닥질호다 	부수어버리다
부에나다 	 화나다
쎄울르다 	 고함지르다
소곤닥호다 	 소근거리다
소도리호다 	 소문내다
속솜호다 	 잠잠하다
심벡호다 	 겨루다
악살호다 	 욕설하다
용심내다 	 성내다
조글리다 	 간지럽히다
저들다 	 걱정하다
다솟 	 다섯
예늘곱 	 예닐곱
요든 	 여든
일고  	 일곱 
여답 	여덟
요나문 	 여나믄
요섯 	 여섯
호나 	 하나
혼잠녀 	 해녀
상군 	 물질잘하는사람
요년난거 	 어린처녀욕
볼망텡이 	 밤따귀
미리내 	 은하수
비주제 	 소나기
상고지 	 무지개
우네 	 안개
노릇 	 공기
낭강알 	 나무그늘
돌 	 달
밸 	 별
돌생기 	 돌맹이
작지왓 	 자갈밭
구들 	 방
통시 	 화장실
벤소 	 화장실
석 	 줄
밭돌랭이 	 작은밭
돌 	 한 달
데맹이	머리
우뚝지	어깨
동무릅	무릎
발꼽데기	발
